""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"V1"	"V3"	"V13"	"Protein.names"	"Organism"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"	"transcript_type"
"13"	"pofut1"	311.792089489552	0.669911866644374	0.198277031510436	3.38532399546915	0.000710942855308203	0.0111773045898455	"XM_060056069.1"	"Q91ZW2"	0	"GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)"	"Mus musculus (Mouse)"	"angiogenesis [GO:0001525]; fucose metabolic process [GO:0006004]; heart development [GO:0007507]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; protein O-linked fucosylation [GO:0036066]; protein O-linked glycosylation [GO:0006493]; regulation of Notch signaling pathway [GO:0008593]; somitogenesis [GO:0001756]"	"GO:0001525; GO:0001756; GO:0005783; GO:0006004; GO:0006493; GO:0007219; GO:0007399; GO:0007507; GO:0008417; GO:0008593; GO:0016020; GO:0036066; GO:0046922"	"transcript variant X1, mRNA"
"14"	"LOC132467064"	7.09849086457528	0.702729975728353	0.212625847429187	3.28589968387659	0.00101657206805108	0.0145025003509392	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"dhh"	52.5357869498167	0.683642674360983	0.150073361214046	4.55161602094227	5.32354276369263e-06	0.000278288197972032	"XM_060064619.1"	"P97812"	6.83e-132	"Indian hedgehog protein (IHH) (EC 3.1.-.-) (HHG-2) [Cleaved into: Indian hedgehog protein N-product]"	"Mus musculus (Mouse)"	"bone resorption [GO:0045453]; branching involved in blood vessel morphogenesis [GO:0001569]; camera-type eye development [GO:0043010]; camera-type eye photoreceptor cell fate commitment [GO:0060220]; cartilage development [GO:0051216]; cell fate specification [GO:0001708]; cell maturation [GO:0048469]; cell population proliferation [GO:0008283]; cell-cell signaling [GO:0007267]; chondrocyte differentiation [GO:0002062]; chondrocyte differentiation involved in endochondral bone morphogenesis [GO:0003413]; chondrocyte proliferation [GO:0035988]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic digestive tract morphogenesis [GO:0048557]; embryonic digit morphogenesis [GO:0042733]; embryonic pattern specification [GO:0009880]; embryonic skeletal joint development [GO:0072498]; endochondral bone morphogenesis [GO:0060350]; epithelial cell morphogenesis [GO:0003382]; epithelial cell-cell adhesion [GO:0090136]; head morphogenesis [GO:0060323]; heart looping [GO:0001947]; in utero embryonic development [GO:0001701]; intein-mediated protein splicing [GO:0016539]; liver regeneration [GO:0097421]; maternal process involved in female pregnancy [GO:0060135]; morphogenesis of a branching structure [GO:0001763]; multicellular organism growth [GO:0035264]; negative regulation of alpha-beta T cell differentiation [GO:0046639]; negative regulation of apoptotic process [GO:0043066]; negative regulation of chondrocyte differentiation [GO:0032331]; negative regulation of eye pigmentation [GO:0048074]; negative regulation of immature T cell proliferation in thymus [GO:0033088]; negative regulation of T cell differentiation in thymus [GO:0033085]; neuron development [GO:0048666]; ossification [GO:0001503]; osteoblast differentiation [GO:0001649]; pancreas development [GO:0031016]; pattern specification process [GO:0007389]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of smoothened signaling pathway [GO:0045880]; positive regulation of T cell differentiation in thymus [GO:0033089]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein autoprocessing [GO:0016540]; proteoglycan metabolic process [GO:0006029]; regulation of gene expression [GO:0010468]; regulation of growth [GO:0040008]; response to estradiol [GO:0032355]; response to mechanical stimulus [GO:0009612]; retinal pigment epithelium development [GO:0003406]; self proteolysis [GO:0097264]; skeletal system development [GO:0001501]; smooth muscle tissue development [GO:0048745]; smoothened signaling pathway [GO:0007224]; somite development [GO:0061053]; vasculature development [GO:0001944]; vitelline membrane formation [GO:0030704]"	"GO:0000139; GO:0001501; GO:0001503; GO:0001569; GO:0001649; GO:0001701; GO:0001708; GO:0001763; GO:0001944; GO:0001947; GO:0002053; GO:0002062; GO:0003382; GO:0003406; GO:0003413; GO:0005113; GO:0005509; GO:0005576; GO:0005615; GO:0005789; GO:0005886; GO:0006029; GO:0007224; GO:0007267; GO:0007389; GO:0008233; GO:0008283; GO:0008284; GO:0009612; GO:0009880; GO:0010468; GO:0016539; GO:0016540; GO:0030704; GO:0031012; GO:0031016; GO:0032331; GO:0032355; GO:0032967; GO:0033085; GO:0033088; GO:0033089; GO:0034189; GO:0035264; GO:0035988; GO:0040008; GO:0042733; GO:0043010; GO:0043066; GO:0045453; GO:0045880; GO:0045944; GO:0046638; GO:0046639; GO:0048074; GO:0048469; GO:0048557; GO:0048596; GO:0048666; GO:0048745; GO:0050679; GO:0051216; GO:0060135; GO:0060220; GO:0060323; GO:0060350; GO:0061053; GO:0072498; GO:0090136; GO:0097264; GO:0097421; GO:0140853"	"transcript variant X1, mRNA"
"16"	"LOC132445430"	819.780618321845	-0.707704092224918	0.178039995455468	-3.9748365365842	7.04276109338097e-05	0.00197859681619611	"XM_060048443.1"	"Q1LXK5"	0	"Putative helicase mov-10-B.2 (EC 3.6.4.13)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"miRNA-mediated gene silencing by mRNA destabilization [GO:0035279]; RNA-mediated post-transcriptional gene silencing [GO:0035194]"	"GO:0000932; GO:0003723; GO:0003724; GO:0005524; GO:0005829; GO:0016887; GO:0035194; GO:0035279; GO:0043186"	"mRNA"
"17"	"si:ch211-210c8.6"	111.714504382138	-0.622093634716583	0.15113889229948	-4.11400935362209	3.88845668177727e-05	0.00126478534335942	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"LOC132465765"	6745.62533182529	0.684079358887386	0.122397364279417	5.5893701527722	2.27894702376343e-08	3.62359488379959e-06	"XM_060062592.1"	"Q6RY07"	6.57e-166	"Acidic mammalian chitinase (AMCase) (EC 3.2.1.14)"	"Rattus norvegicus (Rat)"	"apoptotic process [GO:0006915]; chitin catabolic process [GO:0006032]; immune system process [GO:0002376]; polysaccharide catabolic process [GO:0000272]; positive regulation of chemokine production [GO:0032722]; production of molecular mediator involved in inflammatory response [GO:0002532]"	"GO:0000272; GO:0002376; GO:0002532; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0006032; GO:0006915; GO:0008061; GO:0019900; GO:0032722"	"mRNA"
"19"	"si:ch73-217n20.1"	80.3032625736262	0.625835852583166	0.194376238774799	3.21836476111891	0.00128923751229741	0.0171136575389135	"XM_060070681.1"	"Q80T79"	4.93e-50	"CUB and sushi domain-containing protein 3 (CUB and sushi multiple domains protein 3)"	"Mus musculus (Mouse)"	"negative regulation of complement activation, classical pathway [GO:0045959]; regulation of dendrite development [GO:0050773]"	"GO:0005615; GO:0005886; GO:0045959; GO:0050773"	"mRNA"
"20"	"ptges3b"	931.539061682484	-0.82271462716938	0.148853408450076	-5.52679587750441	3.26132032612983e-08	4.58999477053483e-06	"XM_060036003.1"	"G1TGF1"	5.4e-71	"Prostaglandin E synthase 3 (EC 5.3.99.3) (Cytosolic prostaglandin E2 synthase) (cPGES)"	"Oryctolagus cuniculus (Rabbit)"	"positive regulation of telomerase activity [GO:0051973]; prostaglandin biosynthetic process [GO:0001516]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004]"	"GO:0001516; GO:0005737; GO:0007004; GO:0050220; GO:0051879; GO:0051973; GO:0070182; GO:1905323"	"transcript variant X1, mRNA"
"21"	"rbm38"	25.3604034682935	0.67075427319219	0.207652815531456	3.22620268551177	0.00125444487470609	0.0168762037050304	"XM_060036208.1"	"Q5ZJX4"	5.87e-76	"RNA-binding protein 38 (RNA-binding motif protein 38)"	"Gallus gallus (Chicken)"	"cell differentiation [GO:0030154]; mRNA processing [GO:0006397]; mRNA stabilization [GO:0048255]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]"	"GO:0000381; GO:0003730; GO:0005634; GO:0005829; GO:0006397; GO:0008380; GO:0030154; GO:0048255"	"mRNA"
"22"	"irf10"	125.528002737992	-0.900568898692679	0.159202276433224	-5.65359185598604	1.57129076470716e-08	2.88234823786677e-06	"XM_060039047.1"	"Q64287"	9.35e-94	"Interferon regulatory factor 4 (IRF-4) (Lymphocyte-specific interferon regulatory factor) (LSIRF) (NF-EM5) (PU.1 interaction partner) (Transcriptional activator PIP)"	"Mus musculus (Mouse)"	"defense response to protozoan [GO:0042832]; histone H3 acetylation [GO:0043966]; histone H4 acetylation [GO:0043967]; immune system process [GO:0002376]; myeloid dendritic cell differentiation [GO:0043011]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-13 production [GO:0032736]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; T-helper 17 cell lineage commitment [GO:0072540]"	"GO:0000786; GO:0000978; GO:0000981; GO:0000987; GO:0001228; GO:0002376; GO:0003700; GO:0003713; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0032733; GO:0032736; GO:0032743; GO:0032753; GO:0034122; GO:0042832; GO:0043011; GO:0043388; GO:0043565; GO:0043966; GO:0043967; GO:0045893; GO:0045944; GO:0072540; GO:0120162; GO:1990837"	"transcript variant X1, mRNA"
"23"	"cnbpa"	3332.87599726192	-0.588010964595491	0.139264605306871	-4.22210993860988	2.42026002237814e-05	0.000899120455521544	"XM_060042398.1"	"P62634"	7.34e-56	"CCHC-type zinc finger nucleic acid binding protein (Cellular nucleic acid-binding protein) (CNBP) (Zinc finger protein 9)"	"Rattus norvegicus (Rat)"	"G-quadruplex DNA formation [GO:0071919]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]"	"GO:0000122; GO:0003697; GO:0003727; GO:0003729; GO:0005634; GO:0005737; GO:0005783; GO:0005829; GO:0008270; GO:0008284; GO:0045182; GO:0045893; GO:0045944; GO:0051880; GO:0071919; GO:2000767"	"mRNA"
"24"	"LOC132452117"	8.75332613927022	0.729919768183683	0.220383265572906	3.31716176463982	0.000909369484861132	0.0133638967368598	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"eps8l3b"	261.289023293832	1.02510980268414	0.185653689450774	5.52875270648727	3.22515593036048e-08	4.58316576239673e-06	"XM_060046203.1"	"Q91WL0"	7.25e-62	"Epidermal growth factor receptor kinase substrate 8-like protein 3 (EPS8-like protein 3) (Epidermal growth factor receptor pathway substrate 8-related protein 3) (EPS8-related protein 3)"	"Mus musculus (Mouse)"	"positive regulation of ruffle assembly [GO:1900029]; regulation of hair cycle [GO:0042634]; regulation of Rho protein signal transduction [GO:0035023]; Rho protein signal transduction [GO:0007266]"	"GO:0003779; GO:0005737; GO:0005886; GO:0007266; GO:0032587; GO:0035023; GO:0042634; GO:1900029"	"transcript variant X1, mRNA"
"26"	"LOC132453724"	22.7180860669883	0.641567047173923	0.220140720503187	2.95620023412417	0.00311454821194818	0.0311390998485556	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"taf8"	2165.39031600361	1.19395156280504	0.206852566974516	5.80894805382418	6.28665895695259e-09	1.41565887927562e-06	"XM_060047018.1"	"Q6P0T2"	2.51e-149	"Transcription initiation factor TFIID subunit 8 (Protein taube nuss-like) (TBP-associated factor 8)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"cell differentiation [GO:0030154]; transcription initiation at RNA polymerase II promoter [GO:0006367]"	"GO:0005669; GO:0005737; GO:0006367; GO:0030154; GO:0046982"	"mRNA"
"28"	"LOC132454637"	106.397424221909	0.758255996723735	0.22065069416832	3.4939372826772	0.00047595281631012	0.00820556109815222	NA	NA	NA	NA	NA	NA	NA	NA
"29"	"si:ch73-206d17.1"	127.802571930697	-0.756146116880051	0.1628353576672	-4.64318487031131	3.43079108993808e-06	0.000202485843481547	"XM_060048041.1"	"Q6J9G0"	1.21e-57	"Tyrosine-protein kinase STYK1 (EC 2.7.10.2) (Novel oncogene with kinase domain) (Protein PK-unique) (Serine/threonine/tyrosine kinase 1)"	"Homo sapiens (Human)"	"cell differentiation [GO:0030154]; innate immune response [GO:0045087]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]"	"GO:0004713; GO:0004715; GO:0005102; GO:0005524; GO:0005886; GO:0007169; GO:0030154; GO:0031234; GO:0045087"	"transcript variant X1, mRNA"
"30"	"ube2t"	35.3440912243094	-0.793452376528069	0.206757782282083	-3.8435568359426	0.000121263899155299	0.00299160778814131	"XM_060048697.1"	"Q08BH7"	4.01e-99	"Ubiquitin-conjugating enzyme E2 T (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme T) (Ubiquitin carrier protein T) (Ubiquitin-protein ligase T)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]"	"GO:0000209; GO:0003682; GO:0004842; GO:0005524; GO:0005634; GO:0006281; GO:0006513; GO:0006974; GO:0051865; GO:0061631"	"transcript variant X1, mRNA"
"31"	"LOC132455209"	11.9758001152661	0.668068303342477	0.21681898267534	3.12069084936067	0.00180427341081822	0.0211104315860482	"XM_060049030.1"	"Q641K5"	9.75e-143	"NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (Omphalocele kinase 1)"	"Mus musculus (Mouse)"	"cell adhesion [GO:0007155]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to glucose starvation [GO:0042149]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; regulation of cell adhesion [GO:0030155]; regulation of cellular senescence [GO:2000772]; regulation of myosin-light-chain-phosphatase activity [GO:0035507]"	"GO:0001650; GO:0002039; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0006468; GO:0006974; GO:0007155; GO:0015630; GO:0030155; GO:0035507; GO:0035556; GO:0042149; GO:0106310; GO:2000772"	"mRNA"
"32"	"rnf114"	258.82650165781	-0.656214108205413	0.130761153121365	-5.01785584713183	5.22513587333175e-07	4.34547237374755e-05	"XM_060049437.1"	"Q4U5R4"	6.96e-82	"E3 ubiquitin-protein ligase RNF114 (EC 2.3.2.27) (RING finger protein 114) (RING-type E3 ubiquitin transferase RNF114) (Zinc finger protein 313)"	"Bos taurus (Bovine)"	"cell differentiation [GO:0030154]; protein polyubiquitination [GO:0000209]; spermatogenesis [GO:0007283]; ubiquitin-dependent protein catabolic process [GO:0006511]"	"GO:0000209; GO:0005634; GO:0005829; GO:0005886; GO:0006511; GO:0007283; GO:0030154; GO:0046872; GO:0061630"	"mRNA"
"33"	"slmapb"	9.93711066363367	0.589970154203165	0.215613158587945	2.74222467140418	0.00610245856312036	0.0492401797069419	"XM_060050155.1"	"Q14BN4"	7.94e-21	"Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein)"	"Homo sapiens (Human)"	"muscle contraction [GO:0006936]; protein localization to plasma membrane [GO:0072659]; regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900825]; regulation of sodium ion transmembrane transport [GO:1902305]; regulation of voltage-gated sodium channel activity [GO:1905150]"	"GO:0005790; GO:0005815; GO:0005886; GO:0006936; GO:0042383; GO:0072659; GO:1900825; GO:1902305; GO:1905150"	"transcript variant X5, mRNA"
"34"	"ampd2b"	24.2974297934248	-0.622760837505538	0.205276393773376	-3.03483765020945	0.00240665197930531	0.0258257000083567	"XM_060050336.1"	"Q01433"	0	"AMP deaminase 2 (EC 3.5.4.6) (AMP deaminase isoform L)"	"Homo sapiens (Human)"	"AMP metabolic process [GO:0046033]; cyclic purine nucleotide metabolic process [GO:0052652]; energy homeostasis [GO:0097009]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]"	"GO:0003876; GO:0005829; GO:0006188; GO:0032264; GO:0042802; GO:0046033; GO:0046872; GO:0052652; GO:0097009"	"transcript variant X1, mRNA"
"35"	"elapor1"	11.7553805789834	0.725919301953468	0.219542851676172	3.33008053772937	0.000868208676893133	0.0129512613897087	"XM_060050744.1"	"Q6UXG2"	0	"Endosome/lysosome-associated apoptosis and autophagy regulator 1 (Estrogen-induced gene 121 protein)"	"Homo sapiens (Human)"	"autophagosome assembly [GO:0000045]; cellular response to starvation [GO:0009267]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of vacuole organization [GO:0044090]"	"GO:0000045; GO:0003723; GO:0005765; GO:0005789; GO:0005794; GO:0005886; GO:0009267; GO:0016020; GO:0031902; GO:0044090; GO:0070062; GO:2000786"	"transcript variant X1, mRNA"
"36"	"troap"	31.7819136227508	-0.876612273675181	0.199183012454242	-4.4028106990834	1.06857398763759e-05	0.00048125284483235	NA	NA	NA	NA	NA	NA	NA	NA
"37"	"LOC132461869"	22.1554987383646	-0.661815259559246	0.208384184281932	-3.17308354131762	0.00150829117349284	0.018886150633258	"XM_060057332.1"	"O77808"	2.99e-73	"Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)"	"Canis lupus familiaris (Dog) (Canis familiaris)"	"G protein-coupled receptor signaling pathway [GO:0007186]; positive regulation of gene expression [GO:0010628]; positive regulation of vasoconstriction [GO:0045907]; regulation of systemic arterial blood pressure by vasopressin [GO:0001992]"	"GO:0001992; GO:0004930; GO:0005000; GO:0005886; GO:0007186; GO:0010628; GO:0042277; GO:0045907"	"transcript variant X1, mRNA"
"38"	"ribc1"	193.466141789979	0.707272097951616	0.151486278542709	4.66917135591835	3.02417059456012e-06	0.000182912334680068	"XM_060057502.1"	"Q4R698"	8.11e-37	"RIB43A-like with coiled-coils protein 1"	"Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)"	""	""	"mRNA"
