""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"V1"	"V3"	"V13"	"Protein.names"	"Organism"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"	"transcript_type"
"14"	"ada"	14.1455353424803	-0.678660491775731	0.245093840379845	-2.76751346510754	0.00564857120049214	0.0198734353224203	"XM_060056150.1"	"Q6DG22"	0	"Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"adenosine catabolic process [GO:0006154]; hypoxanthine salvage [GO:0043103]; inosine biosynthetic process [GO:0046103]; negative regulation of adenosine receptor signaling pathway [GO:0060169]; nucleotide metabolic process [GO:0009117]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]; T cell activation [GO:0042110]"	"GO:0004000; GO:0005764; GO:0005829; GO:0006154; GO:0008270; GO:0009117; GO:0009168; GO:0009897; GO:0042110; GO:0043103; GO:0046103; GO:0046936; GO:0060169; GO:0060205; GO:0070161"	"mRNA"
"15"	"hnf4a"	3078.74991992299	-0.852027377898257	0.194686771875325	-4.37673038958593	1.2047284127424e-05	0.000135576341002647	"XM_060055861.1"	"Q91766"	0	"Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1)"	"Xenopus laevis (African clawed frog)"	"positive regulation of DNA-templated transcription [GO:0045893]; regulation of circadian rhythm [GO:0042752]; rhythmic process [GO:0048511]"	"GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0042752; GO:0043565; GO:0045893; GO:0048511"	"transcript variant X1, mRNA"
"16"	"jph2"	34.5189540313015	-1.66722169825646	0.190899733387721	-8.69685293453574	3.41215199796805e-18	1.20723602152499e-15	"XM_060055482.1"	"Q9GKY7"	8.32e-159	"Junctophilin-2 (JP-2) (Junctophilin type 2) [Cleaved into: Junctophilin-2 N-terminal fragment (JP2NT)]"	"Oryctolagus cuniculus (Rabbit)"	"negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]"	"GO:0000122; GO:0001046; GO:0001227; GO:0001786; GO:0003677; GO:0005546; GO:0005547; GO:0005634; GO:0005886; GO:0010314; GO:0030314; GO:0032266; GO:0033017; GO:0045892; GO:0070273; GO:0070300; GO:0080025"	"transcript variant X1, mRNA"
"17"	"LOC132460936"	796.559881993301	-0.896831258635657	0.12688868949702	-7.06759272851515	1.57644404122661e-12	1.51443028225386e-10	"XM_060055917.1"	"P68373"	0	"Tubulin alpha-1C chain (EC 3.6.5.-) (Alpha-tubulin 6) (Alpha-tubulin isotype M-alpha-6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]"	"Mus musculus (Mouse)"	"microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]"	"GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005634; GO:0005737; GO:0005874; GO:0005881; GO:0015630; GO:0016787; GO:0045121; GO:0046872"	"mRNA"
"18"	"ccnt1"	128.176257389073	-0.584455405896658	0.170104427120652	-3.43641051671107	0.000589477042505269	0.00327121422286972	"XM_060055553.1"	"Q6T8E9"	9.38e-162	"Cyclin-T1 (CycT1)"	"Bos taurus (Bovine)"	"cell cycle [GO:0007049]; cell division [GO:0051301]; phosphorylation of RNA polymerase II C-terminal domain serine 2 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter [GO:1903655]; phosphorylation of RNA polymerase II C-terminal domain serine 5 residues involved in positive regulation of transcription elongation from RNA polymerase II promoter [GO:1903654]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; regulation of transcription by RNA polymerase II [GO:0006357]"	"GO:0000976; GO:0003682; GO:0005634; GO:0005829; GO:0006357; GO:0007049; GO:0008024; GO:0016538; GO:0019901; GO:0032786; GO:0032968; GO:0043923; GO:0051301; GO:0061575; GO:0070063; GO:0070691; GO:0097322; GO:0140297; GO:0140693; GO:1903654; GO:1903655"	"transcript variant X1, mRNA"
"19"	"LOC132460950"	20.4492298151594	0.811658867523159	0.2480158173146	3.26450207245556	0.00109656660815028	0.00541784578263896	"XM_060055919.1"	"O88721"	1.62e-52	"Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)"	"Mus musculus (Mouse)"	"G protein-coupled receptor signaling pathway [GO:0007186]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of renal sodium excretion [GO:0035814]; negative regulation of urine volume [GO:0035811]; positive regulation of blood pressure [GO:0045777]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of systemic arterial blood pressure [GO:0003084]; positive regulation of vasoconstriction [GO:0045907]; regulation of systemic arterial blood pressure by vasopressin [GO:0001992]; response to cytokine [GO:0034097]; telencephalon development [GO:0021537]"	"GO:0001992; GO:0003084; GO:0004930; GO:0005000; GO:0005768; GO:0005886; GO:0007186; GO:0007249; GO:0008284; GO:0008285; GO:0010628; GO:0021537; GO:0030139; GO:0034097; GO:0035811; GO:0035814; GO:0042277; GO:0045777; GO:0045907; GO:0048471"	"mRNA"
"20"	"hsd17b10"	408.3802524001	0.817215093209972	0.156637777507616	5.21643136345023	1.82403120227893e-07	4.14724084957025e-06	"XM_060056246.1"	"O02691"	4.47e-139	"3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)"	"Bos taurus (Bovine)"	"androgen metabolic process [GO:0008209]; bile acid biosynthetic process [GO:0006699]; brexanolone metabolic process [GO:0062173]; C21-steroid hormone metabolic process [GO:0008207]; estrogen metabolic process [GO:0008210]; fatty acid beta-oxidation [GO:0006635]; fatty acid metabolic process [GO:0006631]; isoleucine catabolic process [GO:0006550]; mitochondrial tRNA 3'-end processing [GO:1990180]; mitochondrial tRNA 5'-end processing [GO:0097745]; mitochondrial tRNA methylation [GO:0070901]; mitochondrion organization [GO:0007005]; protein homotetramerization [GO:0051289]"	"GO:0000049; GO:0003857; GO:0004303; GO:0005739; GO:0006550; GO:0006631; GO:0006635; GO:0006699; GO:0007005; GO:0008207; GO:0008209; GO:0008210; GO:0008709; GO:0030283; GO:0030678; GO:0042645; GO:0043527; GO:0044594; GO:0047015; GO:0047035; GO:0047044; GO:0051289; GO:0062173; GO:0070901; GO:0097745; GO:0106281; GO:0106282; GO:0106283; GO:1990180"	"mRNA"
"21"	"LOC132460145"	70.9147037240009	3.22678096259868	0.217675249644947	14.5746795663058	4.07027948647269e-48	2.95217371153864e-44	"XM_060055200.1"	"Q90478"	5.58e-132	"Neural cell adhesion molecule L1.1 (N-CAM-L1.1) (NCAM-L1.1)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"axon guidance [GO:0007411]; axon regeneration [GO:0031103]; brain development [GO:0007420]; cartilage morphogenesis [GO:0060536]; cell-cell adhesion [GO:0098609]; nervous system development [GO:0007399]; positive regulation of axon extension [GO:0045773]; positive regulation of gene expression [GO:0010628]"	"GO:0005886; GO:0007399; GO:0007411; GO:0007420; GO:0010628; GO:0030424; GO:0031103; GO:0044295; GO:0045773; GO:0060536; GO:0098609; GO:0098632"	"partial mRNA"
"22"	"LOC132460863"	4352.10832806623	0.7529574966004	0.11730547743463	6.41873063490123	1.37415303436067e-10	7.55055451380148e-09	"XM_060055809.1"	"Q91309"	0	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase (6PF-2-K/Fru-2,6-P2ase) (PFK/FBPase) (6PF-2-K/Fru-2,6-P2ase liver/muscle isozymes) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]"	"Lithobates catesbeianus (American bullfrog) (Rana catesbeiana)"	"fructose 2,6-bisphosphate metabolic process [GO:0006003]; fructose metabolic process [GO:0006000]"	"GO:0003873; GO:0004331; GO:0005524; GO:0006000; GO:0006003"	"transcript variant X1, mRNA"
"23"	"si:dkey-150i13.2"	186.211766594059	-0.610873612313172	0.291419087661217	-3.74103048684736	0.000183267285995942	0.00127092482636936	"XM_060056173.1"	"O43772"	2.06e-106	"Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (CACT) (Solute carrier family 25 member 20)"	"Homo sapiens (Human)"	"carnitine shuttle [GO:0006853]; carnitine transmembrane transport [GO:1902603]; in utero embryonic development [GO:0001701]; mitochondrial transport [GO:0006839]"	"GO:0001701; GO:0005739; GO:0005740; GO:0005743; GO:0005829; GO:0006839; GO:0006853; GO:0015227; GO:0022857; GO:1902603"	"mRNA"
"24"	"flna"	386.608136065874	-0.815142036700651	0.136240917409341	-5.98259719722444	2.19607381278276e-09	8.87360633098235e-08	"XM_060055343.1"	"P21333"	0	"Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)"	"Homo sapiens (Human)"	"actin crosslink formation [GO:0051764]; actin cytoskeleton reorganization [GO:0031532]; adenylate cyclase-inhibiting dopamine receptor signaling pathway [GO:0007195]; angiogenesis [GO:0001525]; blood coagulation, intrinsic pathway [GO:0007597]; blood vessel remodeling [GO:0001974]; cell-cell junction organization [GO:0045216]; cilium assembly [GO:0060271]; cytoplasmic sequestering of protein [GO:0051220]; early endosome to late endosome transport [GO:0045022]; epithelial to mesenchymal transition [GO:0001837]; establishment of protein localization [GO:0045184]; heart morphogenesis [GO:0003007]; megakaryocyte development [GO:0035855]; mitotic spindle assembly [GO:0090307]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of neuron projection development [GO:0010977]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transcription by RNA polymerase I [GO:0016479]; platelet aggregation [GO:0070527]; positive regulation of axon regeneration [GO:0048680]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of platelet activation [GO:0010572]; positive regulation of potassium ion transmembrane transport [GO:1901381]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein localization to cell surface [GO:0034394]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; receptor clustering [GO:0043113]; regulation of actin filament bundle assembly [GO:0032231]; regulation of cell migration [GO:0030334]; regulation of membrane repolarization during atrial cardiac muscle cell action potential [GO:1905000]; regulation of membrane repolarization during cardiac muscle cell action potential [GO:1905031]; release of sequestered calcium ion into cytosol [GO:0051209]; semaphorin-plexin signaling pathway [GO:0071526]; synapse organization [GO:0050808]; tubulin deacetylation [GO:0090042]; wound healing, spreading of cells [GO:0044319]"	"GO:0001525; GO:0001664; GO:0001837; GO:0001974; GO:0003007; GO:0003723; GO:0005080; GO:0005576; GO:0005634; GO:0005730; GO:0005737; GO:0005802; GO:0005829; GO:0005886; GO:0005903; GO:0005911; GO:0005925; GO:0005938; GO:0007195; GO:0007597; GO:0010572; GO:0010977; GO:0015459; GO:0015629; GO:0016020; GO:0016479; GO:0019900; GO:0030018; GO:0030334; GO:0031267; GO:0031523; GO:0031532; GO:0032231; GO:0032432; GO:0034394; GO:0034988; GO:0035855; GO:0042177; GO:0042307; GO:0042803; GO:0043066; GO:0043113; GO:0043123; GO:0043204; GO:0043433; GO:0044295; GO:0044319; GO:0044325; GO:0045022; GO:0045184; GO:0045216; GO:0045296; GO:0048680; GO:0050808; GO:0050821; GO:0051015; GO:0051020; GO:0051209; GO:0051220; GO:0051764; GO:0060271; GO:0070062; GO:0070527; GO:0071526; GO:0072659; GO:0090042; GO:0090307; GO:0140297; GO:1900026; GO:1901381; GO:1905000; GO:1905031; GO:1990779; GO:2001046"	"transcript variant X1, mRNA"
"25"	"snrpg"	667.269578956379	-0.610259547248168	0.158192375915072	-3.85786771835933	0.000114380520209704	0.000854819075817599	"XM_060056446.1"	"P62309"	6.99e-42	"Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG)"	"Mus musculus (Mouse)"	"mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]"	"GO:0000387; GO:0000398; GO:0003723; GO:0005634; GO:0005654; GO:0005681; GO:0005682; GO:0005683; GO:0005685; GO:0005686; GO:0005687; GO:0005689; GO:0005829; GO:0034709; GO:0034719; GO:0043186; GO:0046540; GO:0071004; GO:0071005; GO:0071007; GO:0071011; GO:0071013; GO:0097526; GO:1990446; GO:1990904"	"mRNA"
"26"	"pofut1"	333.525719115963	-0.805262572995847	0.213500615437759	-3.77255123288942	0.000161586772418382	0.00114284628020529	"XM_060056069.1"	"Q91ZW2"	0	"GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)"	"Mus musculus (Mouse)"	"angiogenesis [GO:0001525]; fucose metabolic process [GO:0006004]; heart development [GO:0007507]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; protein O-linked fucosylation [GO:0036066]; protein O-linked glycosylation [GO:0006493]; regulation of Notch signaling pathway [GO:0008593]; somitogenesis [GO:0001756]"	"GO:0001525; GO:0001756; GO:0005783; GO:0006004; GO:0006493; GO:0007219; GO:0007399; GO:0007507; GO:0008417; GO:0008593; GO:0016020; GO:0036066; GO:0046922"	"transcript variant X1, mRNA"
"27"	"slco4a1"	12.6918573138547	-0.811999561396898	0.223580524347791	-3.6255731958465	0.000288321213697439	0.0018370832793057	"XM_060064314.1"	"Q8K078"	0	"Solute carrier organic anion transporter family member 4A1 (Organic anion-transporting polypeptide E) (OATP-E) (Sodium-independent organic anion transporter E) (Solute carrier family 21 member 12)"	"Mus musculus (Mouse)"	"sodium-independent organic anion transport [GO:0043252]; thyroid hormone metabolic process [GO:0042403]"	"GO:0005886; GO:0008514; GO:0015132; GO:0015347; GO:0015349; GO:0042403; GO:0043252"	"transcript variant X1, mRNA"
"28"	"slc26a10"	20.018844255645	-0.64495189788776	0.241918933093583	-2.66847807479042	0.00761957514733298	0.0251775756462898	"XM_060064215.1"	"Q5EBI0"	0	"Solute carrier family 26 member 10"	"Mus musculus (Mouse)"	""	"GO:0005886; GO:0015106; GO:0015108; GO:0015116; GO:0015297; GO:0016323; GO:0019531"	"transcript variant X1, mRNA"
"29"	"dhh"	122.559101891567	1.21817268833034	0.114407752875995	10.6395046839805	1.95164044416696e-26	2.1777304833143e-23	"XM_060064619.1"	"P97812"	6.83e-132	"Indian hedgehog protein (IHH) (EC 3.1.-.-) (HHG-2) [Cleaved into: Indian hedgehog protein N-product]"	"Mus musculus (Mouse)"	"bone resorption [GO:0045453]; branching involved in blood vessel morphogenesis [GO:0001569]; camera-type eye development [GO:0043010]; camera-type eye photoreceptor cell fate commitment [GO:0060220]; cartilage development [GO:0051216]; cell fate specification [GO:0001708]; cell maturation [GO:0048469]; cell population proliferation [GO:0008283]; cell-cell signaling [GO:0007267]; chondrocyte differentiation [GO:0002062]; chondrocyte differentiation involved in endochondral bone morphogenesis [GO:0003413]; chondrocyte proliferation [GO:0035988]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic digestive tract morphogenesis [GO:0048557]; embryonic digit morphogenesis [GO:0042733]; embryonic pattern specification [GO:0009880]; embryonic skeletal joint development [GO:0072498]; endochondral bone morphogenesis [GO:0060350]; epithelial cell morphogenesis [GO:0003382]; epithelial cell-cell adhesion [GO:0090136]; head morphogenesis [GO:0060323]; heart looping [GO:0001947]; in utero embryonic development [GO:0001701]; intein-mediated protein splicing [GO:0016539]; liver regeneration [GO:0097421]; maternal process involved in female pregnancy [GO:0060135]; morphogenesis of a branching structure [GO:0001763]; multicellular organism growth [GO:0035264]; negative regulation of alpha-beta T cell differentiation [GO:0046639]; negative regulation of apoptotic process [GO:0043066]; negative regulation of chondrocyte differentiation [GO:0032331]; negative regulation of eye pigmentation [GO:0048074]; negative regulation of immature T cell proliferation in thymus [GO:0033088]; negative regulation of T cell differentiation in thymus [GO:0033085]; neuron development [GO:0048666]; ossification [GO:0001503]; osteoblast differentiation [GO:0001649]; pancreas development [GO:0031016]; pattern specification process [GO:0007389]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of smoothened signaling pathway [GO:0045880]; positive regulation of T cell differentiation in thymus [GO:0033089]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein autoprocessing [GO:0016540]; proteoglycan metabolic process [GO:0006029]; regulation of gene expression [GO:0010468]; regulation of growth [GO:0040008]; response to estradiol [GO:0032355]; response to mechanical stimulus [GO:0009612]; retinal pigment epithelium development [GO:0003406]; self proteolysis [GO:0097264]; skeletal system development [GO:0001501]; smooth muscle tissue development [GO:0048745]; smoothened signaling pathway [GO:0007224]; somite development [GO:0061053]; vasculature development [GO:0001944]; vitelline membrane formation [GO:0030704]"	"GO:0000139; GO:0001501; GO:0001503; GO:0001569; GO:0001649; GO:0001701; GO:0001708; GO:0001763; GO:0001944; GO:0001947; GO:0002053; GO:0002062; GO:0003382; GO:0003406; GO:0003413; GO:0005113; GO:0005509; GO:0005576; GO:0005615; GO:0005789; GO:0005886; GO:0006029; GO:0007224; GO:0007267; GO:0007389; GO:0008233; GO:0008283; GO:0008284; GO:0009612; GO:0009880; GO:0010468; GO:0016539; GO:0016540; GO:0030704; GO:0031012; GO:0031016; GO:0032331; GO:0032355; GO:0032967; GO:0033085; GO:0033088; GO:0033089; GO:0034189; GO:0035264; GO:0035988; GO:0040008; GO:0042733; GO:0043010; GO:0043066; GO:0045453; GO:0045880; GO:0045944; GO:0046638; GO:0046639; GO:0048074; GO:0048469; GO:0048557; GO:0048596; GO:0048666; GO:0048745; GO:0050679; GO:0051216; GO:0060135; GO:0060220; GO:0060323; GO:0060350; GO:0061053; GO:0072498; GO:0090136; GO:0097264; GO:0097421; GO:0140853"	"transcript variant X1, mRNA"
