ID	Gene Name	Species	BBID	BIOCARTA	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DEVELOPMENTAL_STAGE	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
O88721	arginine vasopressin receptor 2(Avpr2)	Mus musculus			GO:0001992~regulation of systemic arterial blood pressure by vasopressin,GO:0003084~positive regulation of systemic arterial blood pressure,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0010628~positive regulation of gene expression,GO:0021537~telencephalon development,GO:0032609~interferon-gamma production,GO:0032870~cellular response to hormone stimulus,GO:0034097~response to cytokine,GO:0035811~negative regulation of urine volume,GO:0045777~positive regulation of blood pressure,GO:0045907~positive regulation of vasoconstriction,GO:1902533~positive regulation of intracellular signal transduction,	GO:0005768~endosome,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030139~endocytic vesicle,GO:0048471~perinuclear region of cytoplasm,	GO:0004930~G-protein coupled receptor activity,GO:0005000~vasopressin receptor activity,GO:0038023~signaling receptor activity,GO:0042277~peptide binding,	IPR000161:Vprsn_rcpt_V2,IPR000276:GPCR_Rhodpsn,IPR001817:Vasoprsn_rcpt,IPR017452:GPCR_Rhodpsn_7TM,	mmu04072:Phospholipase D signaling pathway,mmu04080:Neuroactive ligand-receptor interaction,mmu04962:Vasopressin-regulated water reabsorption,					KW-0472~Membrane,KW-1003~Cell membrane,			KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:G-protein coupled receptors family 1 profile,LIPID:S-palmitoyl cysteine,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
Q0P5H7	arginyl-tRNA synthetase 2, mitochondrial(RARS2)	Bos taurus			GO:0006420~arginyl-tRNA aminoacylation,GO:0032543~mitochondrial translation,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0031966~mitochondrial membrane,	GO:0004814~arginine-tRNA ligase activity,GO:0005524~ATP binding,	IPR001278:Arg-tRNA-ligase,IPR001412:aa-tRNA-synth_I_CS,IPR008909:DALR_anticod-bd,IPR009080:tRNAsynth_Ia_anticodon-bd,IPR014729:Rossmann-like_a/b/a_fold,IPR035684:ArgRS_core,IPR036695:Arg-tRNA-synth_N_sf,	bta00970:Aminoacyl-tRNA biosynthesis,			SM00836:DALR_1,	KW-0648~Protein biosynthesis,	KW-0472~Membrane,KW-0496~Mitochondrion,			KW-0809~Transit peptide,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0030~Aminoacyl-tRNA synthetase,KW-0436~Ligase,	KW-0007~Acetylation,	DOMAIN:DALR anticodon binding,MOTIF:'HIGH' region,TRANSIT:Mitochondrion,
E9QAU8	arkadia (RNF111) C-terminal like ring finger ubiquitin ligase 2C(Ark2c)	Mus musculus			GO:0000209~protein polyubiquitination,GO:0007409~axonogenesis,GO:0008045~motor neuron axon guidance,GO:0030163~protein catabolic process,GO:0030513~positive regulation of BMP signaling pathway,GO:0035136~forelimb morphogenesis,GO:0060173~limb development,GO:0060384~innervation,GO:0061061~muscle structure development,	GO:0005634~nucleus,GO:0032991~macromolecular complex,	GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016740~transferase activity,GO:0046872~metal ion binding,GO:0061630~ubiquitin protein ligase activity,	IPR001841:Znf_RING,IPR011016:Znf_RING-CH,IPR013083:Znf_RING/FYVE/PHD,IPR045191:MBR1/2-like,				SM00184:RING,SM00744:RINGv,	KW-0833~Ubl conjugation pathway,	KW-0539~Nucleus,			KW-0732~Signal,KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0808~Transferase,		COMPBIAS:Basic and acidic residues,DOMAIN:RING-type,REGION:Disordered,REGION:Ubiquitin binding,ZN_FING:RING-type; atypical,
B0BNL6	arrestin domain containing 1(Arrdc1)	Rattus norvegicus			GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006858~extracellular transport,GO:0015031~protein transport,GO:0016567~protein ubiquitination,GO:0045746~negative regulation of Notch signaling pathway,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0031410~cytoplasmic vesicle,GO:1903561~extracellular vesicle,	GO:0031625~ubiquitin protein ligase binding,GO:0042802~identical protein binding,GO:1990756~protein binding, bridging involved in substrate recognition for ubiquitination,GO:1990763~arrestin family protein binding,	IPR011021:Arrestin-like_N,IPR011022:Arrestin_C-like,IPR014752:Arrestin-like_C,IPR014756:Ig_E-set,				SM01017:Arrestin_C,		KW-0472~Membrane,KW-1003~Cell membrane,						KW-0832~Ubl conjugation,	COMPBIAS:Polar residues,DOMAIN:Arrestin C-terminal-like,MOTIF:PPxY motif 1,MOTIF:PPxY motif 2,REGION:Disordered,
Q6TXF1	arrestin domain containing 3(Arrdc3)	Rattus norvegicus			GO:0001659~temperature homeostasis,GO:0015031~protein transport,GO:0031649~heat generation,GO:0031651~negative regulation of heat generation,GO:0035332~positive regulation of hippo signaling,GO:0043588~skin development,GO:0060613~fat pad development,GO:0071878~negative regulation of adrenergic receptor signaling pathway,GO:0090327~negative regulation of locomotion involved in locomotory behavior,	GO:0005737~cytoplasm,GO:0005764~lysosome,GO:0005768~endosome,GO:0005769~early endosome,GO:0005886~plasma membrane,	GO:0031699~beta-3 adrenergic receptor binding,	IPR011021:Arrestin-like_N,IPR011022:Arrestin_C-like,IPR014752:Arrestin-like_C,IPR014756:Ig_E-set,				SM01017:Arrestin_C,		KW-0458~Lysosome,KW-0472~Membrane,KW-0963~Cytoplasm,KW-0967~Endosome,KW-1003~Cell membrane,			KW-0677~Repeat,				COMPBIAS:Polar residues,DOMAIN:Arrestin C-terminal-like,MOTIF:PPxY motif 1,MOTIF:PPxY motif 2,REGION:Disordered,
Q7TPQ9	arrestin domain containing 3(Arrdc3)	Mus musculus			GO:0001659~temperature homeostasis,GO:0015031~protein transport,GO:0031649~heat generation,GO:0031651~negative regulation of heat generation,GO:0035332~positive regulation of hippo signaling,GO:0043588~skin development,GO:0051443~positive regulation of ubiquitin-protein transferase activity,GO:0060613~fat pad development,GO:0071878~negative regulation of adrenergic receptor signaling pathway,GO:0090327~negative regulation of locomotion involved in locomotory behavior,	GO:0005737~cytoplasm,GO:0005764~lysosome,GO:0005768~endosome,GO:0005769~early endosome,GO:0005886~plasma membrane,GO:0016020~membrane,	GO:0031699~beta-3 adrenergic receptor binding,	IPR011021:Arrestin-like_N,IPR011022:Arrestin_C-like,IPR014752:Arrestin-like_C,IPR014756:Ig_E-set,				SM01017:Arrestin_C,		KW-0458~Lysosome,KW-0472~Membrane,KW-0963~Cytoplasm,KW-0967~Endosome,KW-1003~Cell membrane,			KW-0677~Repeat,				COMPBIAS:Polar residues,DOMAIN:Arrestin C-terminal-like,MOTIF:PPxY motif 1,MOTIF:PPxY motif 2,REGION:Disordered,
Q9I8T7	aryl hydrocarbon receptor nuclear translocator like(ARNTL)	Gallus gallus			GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007623~circadian rhythm,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048511~rhythmic process,GO:0051775~response to redox state,GO:1901985~positive regulation of protein acetylation,	GO:0005634~nucleus,GO:0005667~transcription factor complex,GO:0005737~cytoplasm,GO:0016605~PML body,GO:0034751~aryl hydrocarbon receptor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0046983~protein dimerization activity,	IPR000014:PAS,IPR001067:Nuc_translocat,IPR001610:PAC,IPR011598:bHLH_dom,IPR013767:PAS_fold,IPR035965:PAS-like_dom_sf,IPR036638:HLH_DNA-bd_sf,				SM00086:PAC,SM00091:PAS,SM00353:HLH,	KW-0090~Biological rhythms,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,			KW-0677~Repeat,		KW-0010~Activator,KW-0238~DNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2 and SUMO3),DOMAIN:BHLH,DOMAIN:PAC,DOMAIN:PAS,DOMAIN:PAS 1,DOMAIN:PAS 2,DOMAIN:bHLH,MOTIF:Nuclear export signal 1,MOTIF:Nuclear export signal 2,MOTIF:Nuclear localization signal,REGION:Disordered,SITE:Important for interaction with CLOCK,SITE:Interaction with E-box DNA,
Q95LD9	aryl hydrocarbon receptor(AHR)	Delphinapterus leucas			GO:0002819~regulation of adaptive immune response,GO:0002841~negative regulation of T cell mediated immune response to tumor cell,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007049~cell cycle,GO:0009410~response to xenobiotic stimulus,GO:0009636~response to toxic substance,GO:0019933~cAMP-mediated signaling,GO:0030888~regulation of B cell proliferation,GO:0032922~circadian regulation of gene expression,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048511~rhythmic process,GO:0050728~negative regulation of inflammatory response,GO:0071219~cellular response to molecule of bacterial origin,GO:0071320~cellular response to cAMP,GO:1904322~cellular response to forskolin,GO:1904613~cellular response to 2,3,7,8-tetrachlorodibenzodioxine,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034751~aryl hydrocarbon receptor complex,GO:0034753~nuclear aryl hydrocarbon receptor complex,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0001094~TFIID-class transcription factor binding,GO:0001223~transcription coactivator binding,GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding,GO:0017025~TBP-class protein binding,GO:0046982~protein heterodimerization activity,GO:0046983~protein dimerization activity,GO:0051879~Hsp90 protein binding,GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding,GO:0070888~E-box binding,GO:1990837~sequence-specific double-stranded DNA binding,	IPR000014:PAS,IPR001610:PAC,IPR011598:bHLH_dom,IPR013655:PAS_fold_3,IPR013767:PAS_fold,IPR033348:AHR_bHLH,IPR035965:PAS-like_dom_sf,IPR036638:HLH_DNA-bd_sf,	dle04659:Th17 cell differentiation,dle04934:Cushing syndrome,dle05207:Chemical carcinogenesis - receptor activation,dle05208:Chemical carcinogenesis - reactive oxygen species,			SM00086:PAC,SM00091:PAS,SM00353:HLH,	KW-0090~Biological rhythms,KW-0131~Cell cycle,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,			KW-0677~Repeat,		KW-0010~Activator,KW-0238~DNA-binding,KW-0675~Receptor,KW-0678~Repressor,	KW-0013~ADP-ribosylation,	DOMAIN:BHLH,DOMAIN:PAC,DOMAIN:PAS,DOMAIN:PAS 1,DOMAIN:PAS 2,DOMAIN:PAS fold-3,DOMAIN:bHLH,MOTIF:Nuclear export signal,MOTIF:Nuclear localization signal 1,MOTIF:Nuclear localization signal 2,REGION:Disordered,REGION:Required for maintaining the overall integrity of the AHR:ARNT heterodimer and its transcriptional activity,
Q9DG12	aryl-hydrocarbon receptor nuclear translocator 2(arnt2)	Danio rerio			GO:0001666~response to hypoxia,GO:0003208~cardiac ventricle morphogenesis,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007165~signal transduction,GO:0007411~axon guidance,GO:0007420~brain development,GO:0021536~diencephalon development,GO:0021591~ventricular system development,GO:0021979~hypothalamus cell differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048798~swim bladder inflation,GO:0071542~dopaminergic neuron differentiation,GO:0072576~liver morphogenesis,GO:0098609~cell-cell adhesion,GO:1902073~positive regulation of hypoxia-inducible factor-1alpha signaling pathway,	GO:0005634~nucleus,GO:0005667~transcription factor complex,GO:0005737~cytoplasm,GO:0034751~aryl hydrocarbon receptor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,GO:0046983~protein dimerization activity,	IPR000014:PAS,IPR001067:Nuc_translocat,IPR001610:PAC,IPR011598:bHLH_dom,IPR013767:PAS_fold,IPR035965:PAS-like_dom_sf,IPR036638:HLH_DNA-bd_sf,				SM00086:PAC,SM00091:PAS,SM00353:HLH,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,			KW-0677~Repeat,		KW-0010~Activator,KW-0238~DNA-binding,KW-0675~Receptor,KW-0678~Repressor,		COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:BHLH,DOMAIN:PAC,DOMAIN:PAS,DOMAIN:PAS 1,DOMAIN:PAS 2,DOMAIN:bHLH,REGION:Disordered,
Q7M370	arylacetamide deacetylase(AADAC)	Oryctolagus cuniculus			GO:0006629~lipid metabolic process,GO:0010898~positive regulation of triglyceride catabolic process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0004806~triglyceride lipase activity,GO:0016787~hydrolase activity,GO:0017171~serine hydrolase activity,GO:0019213~deacetylase activity,GO:0052689~carboxylic ester hydrolase activity,	IPR013094:AB_hydrolase_3,IPR017157:Arylacetamide_deacetylase,IPR029058:AB_hydrolase,IPR033140:Lipase_GDXG_put_SER_AS,			PIRSF037251:Arylacetamide_deacetylase,		KW-0443~Lipid metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0492~Microsome,			KW-0732~Signal,KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Alpha/beta hydrolase fold-3,MOTIF:Involved in the stabilization of the negatively charged intermediate by the formation of the oxyanion hole,MUTAGEN:D->K: Inverted topology; when associated with I-3; Q-27 and Q-28, or with I-3; K-27 and K-28.,MUTAGEN:EE->KK,QQ: No effect on topology; when associated with K-24. Inverted topology; when associated with I-3 and K-24.,MUTAGEN:K->I: No effect on membrane topology. Inverted topology; when associated with N-24; Q-27 and Q-28, or with N-24; K-27 and K-28.,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
Q7M370	arylacetamide deacetylase-like 2(LOC103350418)	Oryctolagus cuniculus			GO:0006629~lipid metabolic process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0004806~triglyceride lipase activity,GO:0016787~hydrolase activity,GO:0019213~deacetylase activity,GO:0052689~carboxylic ester hydrolase activity,	IPR013094:AB_hydrolase_3,IPR017157:Arylacetamide_deacetylase,IPR029058:AB_hydrolase,IPR033140:Lipase_GDXG_put_SER_AS,			PIRSF037251:Arylacetamide_deacetylase,		KW-0443~Lipid metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0492~Microsome,			KW-0732~Signal,KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Alpha/beta hydrolase fold-3,MOTIF:Involved in the stabilization of the negatively charged intermediate by the formation of the oxyanion hole,MUTAGEN:D->K: Inverted topology; when associated with I-3; Q-27 and Q-28, or with I-3; K-27 and K-28.,MUTAGEN:EE->KK,QQ: No effect on topology; when associated with K-24. Inverted topology; when associated with I-3 and K-24.,MUTAGEN:K->I: No effect on membrane topology. Inverted topology; when associated with N-24; Q-27 and Q-28, or with N-24; K-27 and K-28.,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
Q7M370	arylacetamide deacetylase-like(LOC100348001)	Oryctolagus cuniculus			GO:0006629~lipid metabolic process,GO:0010898~positive regulation of triglyceride catabolic process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0004806~triglyceride lipase activity,GO:0016787~hydrolase activity,GO:0017171~serine hydrolase activity,GO:0019213~deacetylase activity,GO:0052689~carboxylic ester hydrolase activity,	IPR013094:AB_hydrolase_3,IPR017157:Arylacetamide_deacetylase,IPR029058:AB_hydrolase,IPR033140:Lipase_GDXG_put_SER_AS,			PIRSF037251:Arylacetamide_deacetylase,		KW-0443~Lipid metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0492~Microsome,			KW-0732~Signal,KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Alpha/beta hydrolase fold-3,MOTIF:Involved in the stabilization of the negatively charged intermediate by the formation of the oxyanion hole,MUTAGEN:D->K: Inverted topology; when associated with I-3; Q-27 and Q-28, or with I-3; K-27 and K-28.,MUTAGEN:EE->KK,QQ: No effect on topology; when associated with K-24. Inverted topology; when associated with I-3 and K-24.,MUTAGEN:K->I: No effect on membrane topology. Inverted topology; when associated with N-24; Q-27 and Q-28, or with N-24; K-27 and K-28.,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
Q7M370	arylacetamide deacetylase-like(LOC100349258)	Oryctolagus cuniculus			GO:0006629~lipid metabolic process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0004806~triglyceride lipase activity,GO:0016787~hydrolase activity,GO:0019213~deacetylase activity,GO:0052689~carboxylic ester hydrolase activity,	IPR013094:AB_hydrolase_3,IPR017157:Arylacetamide_deacetylase,IPR029058:AB_hydrolase,IPR033140:Lipase_GDXG_put_SER_AS,			PIRSF037251:Arylacetamide_deacetylase,		KW-0443~Lipid metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0492~Microsome,			KW-0732~Signal,KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Alpha/beta hydrolase fold-3,MOTIF:Involved in the stabilization of the negatively charged intermediate by the formation of the oxyanion hole,MUTAGEN:D->K: Inverted topology; when associated with I-3; Q-27 and Q-28, or with I-3; K-27 and K-28.,MUTAGEN:EE->KK,QQ: No effect on topology; when associated with K-24. Inverted topology; when associated with I-3 and K-24.,MUTAGEN:K->I: No effect on membrane topology. Inverted topology; when associated with N-24; Q-27 and Q-28, or with N-24; K-27 and K-28.,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
P51689	arylsulfatase D(ARSD)	Homo sapiens				GO:0005764~lysosome,GO:0005788~endoplasmic reticulum lumen,GO:0016020~membrane,	GO:0004065~arylsulfatase activity,GO:0008484~sulfuric ester hydrolase activity,GO:0046872~metal ion binding,	IPR000917:Sulfatase_N,IPR017850:Alkaline_phosphatase_core_sf,IPR024607:Sulfatase_CS,						KW-0458~Lysosome,KW-0472~Membrane,			KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,	ACT_SITE:Nucleophile,BINDING:via 3-oxoalanine,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Sulfatase N-terminal,TRANSMEM:Helical,
Q32KI9	arylsulfatase i(Arsi)	Mus musculus				GO:0005576~extracellular region,GO:0005783~endoplasmic reticulum,	GO:0008484~sulfuric ester hydrolase activity,GO:0016787~hydrolase activity,GO:0046872~metal ion binding,	IPR000917:Sulfatase_N,IPR017850:Alkaline_phosphatase_core_sf,IPR024607:Sulfatase_CS,IPR047115:ARSB,						KW-0256~Endoplasmic reticulum,KW-0964~Secreted,			KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,	ACT_SITE:Nucleophile,BINDING:via 3-oxoalanine,CARBOHYD:N-linked (GlcNAc...) asparagine,REGION:Disordered,
Q7L266	asparaginase and isoaspartyl peptidase 1(ASRGL1)	Homo sapiens			GO:0016540~protein autoprocessing,GO:0033345~asparagine catabolic process via L-aspartate,	GO:0001917~photoreceptor inner segment,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004067~asparaginase activity,GO:0008798~beta-aspartyl-peptidase activity,GO:0016787~hydrolase activity,	IPR000246:Peptidase_T2,IPR029055:Ntn_hydrolases_N,IPR033844:ASRGL1_meta,	hsa00250:Alanine, aspartate and glutamate metabolism,hsa01100:Metabolic pathways,					KW-0963~Cytoplasm,					KW-0378~Hydrolase,KW-0645~Protease,	KW-0007~Acetylation,KW-0068~Autocatalytic cleavage,	ACT_SITE:Nucleophile,COMPBIAS:Basic and acidic residues,MUTAGEN:T->A,C: Abolishes activation by autocleavage. Abolishes enzyme activity.,MUTAGEN:T->S: Strongly reduced enzyme activity.,REGION:Disordered,SITE:Cleavage; by autolysis,
Q5BKW9	asparaginase and isoaspartyl peptidase 1(asrgl1)	Danio rerio			GO:0006508~proteolysis,GO:0016540~protein autoprocessing,GO:0033345~asparagine catabolic process via L-aspartate,	GO:0001917~photoreceptor inner segment,GO:0005737~cytoplasm,	GO:0004067~asparaginase activity,GO:0008233~peptidase activity,GO:0008798~beta-aspartyl-peptidase activity,GO:0016787~hydrolase activity,	IPR000246:Peptidase_T2,IPR029055:Ntn_hydrolases_N,IPR033844:ASRGL1_meta,	dre00250:Alanine, aspartate and glutamate metabolism,dre01100:Metabolic pathways,					KW-0963~Cytoplasm,					KW-0378~Hydrolase,KW-0645~Protease,	KW-0068~Autocatalytic cleavage,	ACT_SITE:Nucleophile,SITE:Cleavage; by autolysis,
O88202	asparaginase(Aspg)	Rattus norvegicus			GO:0006528~asparagine metabolic process,GO:0006644~phospholipid metabolic process,GO:0009066~aspartate family amino acid metabolic process,GO:0016042~lipid catabolic process,		GO:0003847~1-alkyl-2-acetylglycerophosphocholine esterase activity,GO:0004067~asparaginase activity,GO:0004622~lysophospholipase activity,GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups,	IPR002110:Ankyrin_rpt,IPR006033:AsnA_fam,IPR006034:Asparaginase/glutaminase-like,IPR027473:L-asparaginase_C,IPR027474:L-asparaginase_N,IPR027475:Asparaginase/glutaminase_AS2,IPR036152:Asp/glu_Ase-like_sf,IPR036770:Ankyrin_rpt-contain_sf,IPR037152:L-asparaginase_N_sf,IPR040919:Asparaginase_C,IPR041725:L-asparaginase_I,			PIRSF001220:L-ASNase_gatD,PIRSF500176:L_ASNase,	SM00248:ANK,SM00870:Asparaginase,	KW-0442~Lipid degradation,KW-0443~Lipid metabolism,				KW-0040~ANK repeat,KW-0677~Repeat,		KW-0012~Acyltransferase,KW-0378~Hydrolase,KW-0808~Transferase,	KW-0597~Phosphoprotein,	ACT_SITE:Acyl-ester intermediate,DOMAIN:Asparaginase/glutaminase,DOMAIN:Asparaginase/glutaminase C-terminal,DOMAIN:L-asparaginase N-terminal,REGION:Asparaginase,REPEAT:ANK,REPEAT:ANK 1,REPEAT:ANK 2,REPEAT:ANK 3,REPEAT:ANK 4,REPEAT:ANK 5,
Q2KJG3	asparaginyl-tRNA synthetase 1(NARS1)	Bos taurus			GO:0006421~asparaginyl-tRNA aminoacylation,GO:0016477~cell migration,GO:0021987~cerebral cortex development,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0031090~organelle membrane,	GO:0003676~nucleic acid binding,GO:0004816~asparagine-tRNA ligase activity,GO:0005524~ATP binding,GO:0031728~CCR3 chemokine receptor binding,GO:0046983~protein dimerization activity,	IPR002312:Asp/Asn-tRNA-synth_IIb,IPR004364:Aa-tRNA-synt_II,IPR004365:NA-bd_OB_tRNA,IPR004522:Asn-tRNA-ligase,IPR006195:aa-tRNA-synth_II,IPR012340:NA-bd_OB-fold,IPR045864:aa-tRNA-synth_II/BPL/LPL,IPR048952:AsnRS_N,	bta00970:Aminoacyl-tRNA biosynthesis,				KW-0648~Protein biosynthesis,	KW-0963~Cytoplasm,				KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0030~Aminoacyl-tRNA synthetase,KW-0436~Ligase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:Aminoacyl-transfer RNA synthetases class-II family profile,REGION:Disordered,
Q6DHI0	aspartoacylase (aminocyclase) 3, tandem duplicate 1(acy3.1)	Danio rerio				GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016324~apical plasma membrane,	GO:0004046~aminoacylase activity,GO:0016787~hydrolase activity,GO:0016788~hydrolase activity, acting on ester bonds,GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,GO:0046872~metal ion binding,	IPR007036:Aste_AspA,IPR016708:Aspartoacylase,			PIRSF018001:Aspartoacylase,			KW-0472~Membrane,KW-0963~Cytoplasm,KW-1003~Cell membrane,				KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,
A8KB34	aspartoacylase(aspa)	Danio rerio				GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0016787~hydrolase activity,GO:0016788~hydrolase activity, acting on ester bonds,GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,GO:0019807~aspartoacylase activity,GO:0046872~metal ion binding,	IPR007036:Aste_AspA,IPR016708:Aspartoacylase,	dre00250:Alanine, aspartate and glutamate metabolism,dre00340:Histidine metabolism,dre01100:Metabolic pathways,		PIRSF018001:Aspartoacylase,			KW-0539~Nucleus,KW-0963~Cytoplasm,				KW-0479~Metal-binding,KW-0862~Zinc,	KW-0378~Hydrolase,
Q1LYL8	asteroid homolog 1a(aste1a)	Danio rerio						IPR026832:Asteroid,IPR029060:PIN-like_dom_sf,
Q9ULK2	ataxin 7 like 1(ATXN7L1)	Homo sapiens					GO:0005515~protein binding,	IPR013243:SCA7_dom,													COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:SCA7,REGION:Disordered,
