ID	Gene Name	Species	BBID	BIOCARTA	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DEVELOPMENTAL_STAGE	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
A2AKM2	3-hydroxyacyl-CoA dehydratase 4(Hacd4)	Mus musculus			GO:0006629~lipid metabolic process,GO:0006631~fatty acid metabolic process,GO:0006633~fatty acid biosynthetic process,GO:0030148~sphingolipid biosynthetic process,GO:0030497~fatty acid elongation,GO:0042761~very long-chain fatty acid biosynthetic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0016829~lyase activity,GO:0018812~3-hydroxyacyl-CoA dehydratase activity,GO:0019899~enzyme binding,	IPR007482:Tyr_Pase-like_PTPLA,	mmu00062:Fatty acid elongation,mmu01040:Biosynthesis of unsaturated fatty acids,mmu01100:Metabolic pathways,mmu01212:Fatty acid metabolism,				KW-0275~Fatty acid biosynthesis,KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,			KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0456~Lyase,		TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
Q561X9	3-hydroxybutyrate dehydrogenase, type 2(bdh2)	Danio rerio			GO:0006629~lipid metabolic process,GO:0006880~intracellular sequestering of iron ion,GO:0019290~siderophore biosynthetic process,GO:0042168~heme metabolic process,GO:0042541~hemoglobin biosynthetic process,GO:0043249~erythrocyte maturation,	GO:0005737~cytoplasm,	GO:0003858~3-hydroxybutyrate dehydrogenase activity,GO:0016491~oxidoreductase activity,GO:0016617~4-oxoproline reductase activity,GO:0016628~oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,	IPR002347:SDR_fam,IPR020904:Sc_DH/Rdtase_CS,IPR036291:NAD(P)-bd_dom_sf,					KW-0443~Lipid metabolism,	KW-0963~Cytoplasm,				KW-0520~NAD,	KW-0560~Oxidoreductase,		ACT_SITE:Proton acceptor,
P55809	3-oxoacid CoA-transferase 1(OXCT1)	Homo sapiens			GO:0042182~ketone catabolic process,GO:0046950~cellular ketone body metabolic process,GO:0046952~ketone body catabolic process,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,	GO:0008260~3-oxoacid CoA-transferase activity,GO:0008410~CoA-transferase activity,	IPR004163:CoA_transf_BS,IPR004164:CoA_transf_AS,IPR004165:CoA_trans_fam_I,IPR012791:3-oxoacid_CoA-transf_B,IPR012792:3-oxoacid_CoA-transf_A,IPR014388:3-oxoacid_CoA-transferase,IPR037171:NagB/RpiA_transferase-like,	hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,hsa01100:Metabolic pathways,	245050~Succinyl CoA:3-oxoacid CoA transferase deficiency,	PIRSF000858:SCOT-t,	SM00882:CoA_trans,	KW-0443~Lipid metabolism,	KW-0496~Mitochondrion,		KW-0225~Disease variant,	KW-0732~Signal,KW-0809~Transit peptide,		KW-0808~Transferase,	KW-0597~Phosphoprotein,	ACT_SITE:5-glutamyl coenzyme A thioester intermediate,TRANSIT:Mitochondrion,
Q9X248	3-oxoacyl-[acyl-carrier-protein] reductase FabG(fabG)	Thermotoga maritima MSB8			GO:0030497~fatty acid elongation,		GO:0004316~3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,GO:0050661~NADP binding,GO:0051287~NAD binding,	IPR002347:SDR_fam,IPR011284:3oxo_ACP_reduc,IPR020904:Sc_DH/Rdtase_CS,IPR036291:NAD(P)-bd_dom_sf,				SM00822:PKS_KR,	KW-0275~Fatty acid biosynthesis,KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,					KW-0521~NADP,	KW-0560~Oxidoreductase,		ACT_SITE:Proton acceptor,
Q91YE9	5'-nucleotidase, cytosolic IB(Nt5c1b)	Mus musculus			GO:0000255~allantoin metabolic process,GO:0006196~AMP catabolic process,GO:0009116~nucleoside metabolic process,GO:0009117~nucleotide metabolic process,GO:0043605~cellular amide catabolic process,GO:0046085~adenosine metabolic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0008253~5'-nucleotidase activity,GO:0016787~hydrolase activity,	IPR010394:5-nucleotidase,	mmu00230:Purine metabolism,mmu00240:Pyrimidine metabolism,mmu00760:Nicotinate and nicotinamide metabolism,mmu01100:Metabolic pathways,mmu01232:Nucleotide metabolism,				KW-0546~Nucleotide metabolism,	KW-0963~Cytoplasm,				KW-0460~Magnesium,	KW-0378~Hydrolase,		ACT_SITE:Nucleophile,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,REGION:Disordered,
Q969T7	5'-nucleotidase, cytosolic IIIB(NT5C3B)	Homo sapiens			GO:0009117~nucleotide metabolic process,GO:0043928~exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0005515~protein binding,GO:0008253~5'-nucleotidase activity,	IPR006434:Pyrimidine_nucleotidase_eu,IPR023214:HAD_sf,IPR036412:HAD-like_sf,	hsa00240:Pyrimidine metabolism,hsa01100:Metabolic pathways,hsa01232:Nucleotide metabolism,				KW-0546~Nucleotide metabolism,	KW-0963~Cytoplasm,				KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,	KW-0007~Acetylation,	ACT_SITE:Nucleophile,ACT_SITE:Proton donor,REGION:Disordered,
O70212	5-hydroxytryptamine receptor 3A(Htr3a)	Cavia porcellus			GO:0006812~cation transport,GO:0007165~signal transduction,GO:0007268~chemical synaptic transmission,GO:0034220~ion transmembrane transport,GO:0042391~regulation of membrane potential,GO:0050877~neurological system process,GO:0098662~inorganic cation transmembrane transport,	GO:0005886~plasma membrane,GO:0030672~synaptic vesicle membrane,GO:0032154~cleavage furrow,GO:0043005~neuron projection,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:1904602~serotonin-activated cation-selective channel complex,	GO:0004890~GABA-A receptor activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0022848~acetylcholine-gated cation-selective channel activity,GO:0022850~serotonin-gated cation-selective channel activity,GO:0042802~identical protein binding,GO:0051378~serotonin binding,GO:0099507~ligand-gated ion channel activity involved in regulation of presynaptic membrane potential,	IPR006029:Neurotrans-gated_channel_TM,IPR006201:Neur_channel,IPR006202:Neur_chan_lig-bd,IPR008132:5HT3_rcpt,IPR008133:5HT3_rcpt_A,IPR018000:Neurotransmitter_ion_chnl_CS,IPR036719:Neuro-gated_channel_TM_sf,IPR036734:Neur_chan_lig-bd_sf,IPR038050:Neuro_actylchol_rec,	cpoc04726:Serotonergic synapse,cpoc04742:Taste transduction,				KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0628~Postsynaptic cell membrane,KW-0770~Synapse,KW-1003~Cell membrane,			KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0407~Ion channel,KW-0675~Receptor,KW-1071~Ligand-gated ion channel,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Neurotransmitter-gated ion-channel ligand-binding,DOMAIN:Neurotransmitter-gated ion-channel transmembrane,REGION:Disordered,REGION:HA-stretch; determines single-channel conductance in 5-HT3 receptors,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,
P61928	60S ribosomal protein L37-like(LOC120097744)	Rattus norvegicus			GO:0006412~translation,GO:1901798~positive regulation of signal transduction by p53 class mediator,	GO:0016020~membrane,GO:0022625~cytosolic large ribosomal subunit,GO:0022626~cytosolic ribosome,GO:0045202~synapse,	GO:0003723~RNA binding,GO:0003735~structural constituent of ribosome,GO:0019838~growth factor binding,GO:0019843~rRNA binding,GO:0046872~metal ion binding,GO:0097371~MDM2/MDM4 family protein binding,GO:1990948~ubiquitin ligase inhibitor activity,	IPR001569:Ribosomal_eL37,IPR011331:Ribosomal_eL37/eL43,IPR011332:Ribosomal_zn-bd,IPR018267:Ribosomal_eL37_CS,						KW-0472~Membrane,KW-0963~Cytoplasm,			KW-0812~Transmembrane,KW-0863~Zinc-finger,KW-1133~Transmembrane helix,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0687~Ribonucleoprotein,KW-0689~Ribosomal protein,KW-0694~RNA-binding,KW-0699~rRNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	REGION:Disordered,TRANSMEM:Helical,ZN_FING:C4-type,
O08760	8-oxoguanine DNA-glycosylase 1(Ogg1)	Mus musculus			GO:0006281~DNA repair,GO:0006284~base-excision repair,GO:0006285~base-excision repair, AP site formation,GO:0006289~nucleotide-excision repair,GO:0006355~regulation of transcription, DNA-templated,GO:0006974~cellular response to DNA damage stimulus,GO:0006979~response to oxidative stress,GO:0008152~metabolic process,GO:0009314~response to radiation,GO:0009410~response to xenobiotic stimulus,GO:0009416~response to light stimulus,GO:0032355~response to estradiol,GO:0043066~negative regulation of apoptotic process,GO:0045471~response to ethanol,GO:0051593~response to folic acid,GO:0071276~cellular response to cadmium ion,GO:1901291~negative regulation of double-strand break repair via single-strand annealing,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0016363~nuclear matrix,GO:0016607~nuclear speck,GO:0032991~macromolecular complex,	GO:0000702~oxidized base lesion DNA N-glycosylase activity,GO:0003677~DNA binding,GO:0003684~damaged DNA binding,GO:0003824~catalytic activity,GO:0008017~microtubule binding,GO:0008534~oxidized purine nucleobase lesion DNA N-glycosylase activity,GO:0016787~hydrolase activity,GO:0016798~hydrolase activity, acting on glycosyl bonds,GO:0016829~lyase activity,GO:0019104~DNA N-glycosylase activity,GO:0032357~oxidized purine DNA binding,GO:0034039~8-oxo-7,8-dihydroguanine DNA N-glycosylase activity,	IPR003265:HhH-GPD_domain,IPR004577:Ogg1,IPR011257:DNA_glycosylase,IPR012904:OGG_N,IPR023170:HhH_base_excis_C,	mmu03410:Base excision repair,			SM00478:ENDO3c,	KW-0227~DNA damage,KW-0234~DNA repair,	KW-0539~Nucleus,					KW-0326~Glycosidase,KW-0378~Hydrolase,KW-0456~Lyase,KW-0511~Multifunctional enzyme,		ACT_SITE:Schiff-base intermediate with DNA,DOMAIN:8-oxoguanine DNA glycosylase N-terminal,DOMAIN:HhH-GPD,
Q7Z7G0	ABI family member 3 binding protein(ABI3BP)	Homo sapiens			GO:0008285~negative regulation of cell proliferation,GO:0010811~positive regulation of cell-substrate adhesion,GO:0030198~extracellular matrix organization,GO:1904597~negative regulation of connective tissue replacement involved in inflammatory response wound healing,GO:1905209~positive regulation of cardiocyte differentiation,	GO:0005576~extracellular region,GO:0005614~interstitial matrix,GO:0005615~extracellular space,	GO:0005201~extracellular matrix structural constituent,GO:0005518~collagen binding,GO:0008201~heparin binding,	IPR003961:FN3_dom,IPR013783:Ig-like_fold,IPR036116:FN3_sf,IPR049109:TARSH/FNDC1_C,				SM00060:FN3,		KW-0964~Secreted,		KW-0225~Disease variant,	KW-0677~Repeat,KW-0732~Signal,			KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:Fibronectin type-III,DOMAIN:Fibronectin type-III 1,DOMAIN:Fibronectin type-III 2,REGION:Disordered,
