""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"V3"	"V13"	"Protein.names"	"Organism"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"
"11"	"XM_060075995.1"	63.2661616608032	-0.73988564849551	0.219857923506592	-3.36527763712064	0.000764666737702084	0.00447388327199005	NA	NA	NA	NA	NA	NA
"12"	"XM_060053398.1"	2003.10931466542	0.604393965252529	0.21941656621297	2.75455105270639	0.00587727198779736	0.0252794341339078	NA	NA	NA	NA	NA	NA
"13"	"XM_060074918.1"	3585.66342819043	0.661397543365267	0.184686203552071	3.58118947244388	0.000342033490735395	0.00222027437487463	"Q9UNL2"	5.58e-114	"Translocon-associated protein subunit gamma (TRAP-gamma) (Signal sequence receptor subunit gamma) (SSR-gamma)"	"Homo sapiens (Human)"	"SRP-dependent cotranslational protein targeting to membrane [GO:0006614]"	"GO:0005783; GO:0005789; GO:0006614"
"14"	"XM_060061635.1"	517.788985365001	-1.94382524668372	0.116592617090844	-16.6674688683894	2.25962417518347e-62	3.0894711535196e-59	"Q5PRA2"	0	"2-oxoadipate dehydrogenase complex component E1 (E1a) (OADC-E1) (OADH-E1) (EC 1.2.4.-) (2-oxoadipate dehydrogenase, mitochondrial) (Alpha-ketoadipate dehydrogenase) (Alpha-KADH-E1) (Dehydrogenase E1 and transketolase domain-containing protein 1) (Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"glycolytic process [GO:0006096]; tricarboxylic acid cycle [GO:0006099]"	"GO:0004591; GO:0005739; GO:0006096; GO:0006099; GO:0030976"
"15"	"XM_060064683.1"	205.459760436331	0.615171900724216	0.157023446685855	3.91780605342357	8.9358555129584e-05	0.000688797657510493	"O75764"	2.38e-96	"Transcription elongation factor A protein 3 (Transcription elongation factor S-II protein 3) (Transcription elongation factor TFIIS.h)"	"Homo sapiens (Human)"	"DNA-templated transcription [GO:0006351]; transcription elongation by RNA polymerase II promoter [GO:0006368]"	"GO:0003677; GO:0005634; GO:0006351; GO:0006368; GO:0008270"
"16"	"XM_060050824.1"	79.1043766562053	-1.00072470771565	0.143288887097002	-6.9800704228688	2.95032136700134e-12	9.54751926398244e-11	"Q6NX08"	0	"Ribosome biogenesis protein wdr12 (WD repeat-containing protein 12)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; regulation of cell cycle [GO:0051726]"	"GO:0000463; GO:0000466; GO:0005654; GO:0005730; GO:0030687; GO:0043021; GO:0051726; GO:0070545"
"17"	"XM_060067026.1"	144.976898811089	0.939798220273176	0.336206862719066	2.7964979339928	0.00516597412579869	0.0227272241713034	"Q6IRI9"	3.64e-177	"Dimethylaniline monooxygenase [N-oxide-forming] 2 (EC 1.14.13.-) (Dimethylaniline oxidase 2) (Pulmonary flavin-containing monooxygenase 2) (FMO 2)"	"Rattus norvegicus (Rat)"	"energy homeostasis [GO:0097009]; NADP metabolic process [GO:0006739]; NADPH oxidation [GO:0070995]; negative regulation of fatty acid oxidation [GO:0046322]; organic acid metabolic process [GO:0006082]; oxygen metabolic process [GO:0072592]; toxin metabolic process [GO:0009404]; xenobiotic metabolic process [GO:0006805]"	"GO:0004497; GO:0004499; GO:0005789; GO:0006082; GO:0006739; GO:0006805; GO:0009404; GO:0016020; GO:0046322; GO:0047822; GO:0050660; GO:0050661; GO:0070995; GO:0072592; GO:0097009"
"18"	"XM_060062002.1"	74.3095533321052	-1.06478096540425	0.208409422318477	-5.10639091129896	3.28370034647485e-07	4.49807318594138e-06	"Q8K4Q6"	1.18e-114	"Endonuclease 8-like 1 (EC 3.2.2.-) (EC 4.2.99.18) (DNA glycosylase/AP lyase Neil1) (DNA-(apurinic or apyrimidinic site) lyase Neil1) (Endonuclease VIII-like 1) (Nei homolog 1) (NEH1) (Nei-like protein 1)"	"Mus musculus (Mouse)"	"base-excision repair [GO:0006284]; DNA repair [GO:0006281]; negative regulation of nuclease activity [GO:0032074]; response to oxidative stress [GO:0006979]"	"GO:0003684; GO:0003906; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0005815; GO:0006281; GO:0006284; GO:0006979; GO:0008022; GO:0008270; GO:0016798; GO:0016829; GO:0019104; GO:0032074; GO:0140078"
"19"	"XM_060065125.1"	113.608748605731	-2.24360148285265	0.346169809452324	-6.4909229989261	8.53120769314408e-11	2.21124051534621e-09	"A5A6H4"	7.38e-111	"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand-binding protein) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]"	"Pan troglodytes (Chimpanzee)"	"cellular response to sodium arsenite [GO:1903936]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]"	"GO:0000398; GO:0003730; GO:0005634; GO:0005737; GO:0051028; GO:0071013; GO:1903936; GO:1990904"
"20"	"XM_060066209.1"	396.829219661902	-0.907089794543131	0.111977138041584	-8.10029401275455	5.48265221295771e-16	2.92312855452221e-14	"Q7SXP0"	8.94e-134	"Vesicle-trafficking protein SEC22b-B (SEC22 vesicle-trafficking protein homolog B-B)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; vesicle fusion with Golgi apparatus [GO:0048280]"	"GO:0000139; GO:0005484; GO:0005789; GO:0005793; GO:0006888; GO:0006890; GO:0012507; GO:0015031; GO:0031201; GO:0033116; GO:0042470; GO:0048280"
"21"	"XR_009526291.1"	1537.5294546052	0.668575845937515	0.253860367150085	2.63367129982118	0.00844672157744328	0.0339545169474732	NA	NA	NA	NA	NA	NA
"22"	"XR_009527969.1"	8.70893507095147	0.762156202170567	0.272144438194493	2.79373611611454	0.00521029765255564	0.0228830498790016	NA	NA	NA	NA	NA	NA
"23"	"XR_009527594.1"	56.053900892819	0.822244924621782	0.26754670369495	3.07199807234436	0.00212631098310428	0.0107624199598309	NA	NA	NA	NA	NA	NA
"24"	"XM_060050173.1"	188.029536338997	2.20266247158427	0.180295806740892	12.209379504512	2.769935519356e-34	7.57438867767897e-32	"Q9DBX3"	0	"Sushi domain-containing protein 2"	"Mus musculus (Mouse)"	"negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of cell division [GO:0051782]"	"GO:0005615; GO:0005886; GO:0051782; GO:1902807"
"25"	"XM_060068071.1"	1524.10600636979	-2.99505963352487	0.171373157535576	-17.4725017870496	2.32090712440401e-68	4.61565129576928e-65	"Q5RG82"	0	"Influenza virus NS1A-binding protein homolog A (NS1-BP homolog A) (NS1-binding protein homolog A)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	""	"GO:0005634; GO:0005737; GO:0005856"
"26"	"XM_060063513.1"	566.334540095213	-0.956025057016259	0.208850798123879	-4.57725188883419	4.71124050649519e-06	5.04222589628614e-05	"Q7ZVE0"	9.16e-53	"H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"definitive hemopoiesis [GO:0060216]; rRNA processing [GO:0006364]; snoRNA guided rRNA pseudouridine synthesis [GO:0000454]; telomere maintenance via telomerase [GO:0007004]"	"GO:0000454; GO:0005697; GO:0006364; GO:0007004; GO:0031429; GO:0034513; GO:0060216"
"27"	"XM_060060155.1"	81.8689341458289	1.03551869389062	0.265534097440983	3.89921871479963	9.65035745601461e-05	0.000735792690311879	"Q9W6V5"	0	"Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (HPTP eta) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (Supporting-cell antigen)"	"Gallus gallus (Chicken)"	"negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of T cell receptor signaling pathway [GO:0050860]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of cell adhesion [GO:0045785]; positive regulation of focal adhesion assembly [GO:0051894]; protein dephosphorylation [GO:0006470]"	"GO:0004725; GO:0005886; GO:0005911; GO:0006470; GO:0016791; GO:0032587; GO:0042059; GO:0043407; GO:0045785; GO:0048008; GO:0050860; GO:0051894; GO:0051898"
"28"	"XM_060073690.1"	303.486362753059	0.581106946453245	0.144322849807559	4.02624970000119	5.66735059876319e-05	0.000459351469798235	"Q1KKR9"	2.49e-138	"Endoplasmic reticulum junction formation protein lunapark-B (ER junction formation factor lunapark)"	"Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)"	"endoplasmic reticulum tubular network maintenance [GO:0071788]; positive regulation of endoplasmic reticulum tubular network organization [GO:1903373]"	"GO:0005789; GO:0042802; GO:0046872; GO:0071788; GO:0098826; GO:1903373"
"29"	"XM_060050803.1"	1594.16257544821	0.67260247121297	0.116049616535907	5.79582707152877	6.79852898680112e-09	1.26789957472516e-07	"Q9PTY0"	0	"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)"	"Cyprinus carpio (Common carp)"	""	"GO:0005524; GO:0005739; GO:0005743; GO:0045261; GO:0046933; GO:0046961"
"30"	"XM_060076998.1"	16.3254234297408	-0.905948681516286	0.230957397190084	-3.91401670543847	9.07733513479896e-05	0.000697903843368758	"Q7SXA9"	0	"Crossover junction endonuclease MUS81 (EC 3.1.22.-)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"anatomical structure development [GO:0048856]; DNA catabolic process, endonucleolytic [GO:0000737]; double-strand break repair via break-induced replication [GO:0000727]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; resolution of meiotic recombination intermediates [GO:0000712]"	"GO:0000712; GO:0000727; GO:0000737; GO:0003677; GO:0005634; GO:0008821; GO:0031573; GO:0043596; GO:0046872; GO:0048257; GO:0048476; GO:0048856"
"31"	"XM_060040062.1"	156.37721632699	-0.73317631162552	0.187057178721404	-3.91877397503412	8.9000524954074e-05	0.000686521679793838	"B5X1G3"	0	"Golgi pH regulator (Protein gpr89)"	"Salmo salar (Atlantic salmon)"	"protein transport [GO:0015031]; regulation of ion transmembrane transport [GO:0034765]"	"GO:0000139; GO:0005244; GO:0015031; GO:0034765"
"32"	"XM_060071331.1"	1736.79875221892	0.65658476230148	0.210455124411433	3.11982679218415	0.00180957411834861	0.00940737723692826	"F1QLP1"	2.68e-147	"11-beta-hydroxysteroid dehydrogenase type 2 (11-DH2) (11-beta-HSD2) (11-beta-hydroxysteroid dehydrogenase type II) (11-HSD type II) (11-beta-HSD type II) (Corticosteroid 11-beta-dehydrogenase isozyme 2) (NAD-dependent 11-beta-hydroxysteroid dehydrogenase)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"cortisol metabolic process [GO:0034650]; glucocorticoid metabolic process [GO:0008211]; multicellular organismal response to stress [GO:0033555]; steroid metabolic process [GO:0008202]"	"GO:0003845; GO:0008202; GO:0008211; GO:0016020; GO:0016491; GO:0033555; GO:0034650; GO:0043231; GO:0070523"
"33"	"XM_060038802.1"	223.431191771026	-3.06036857162428	0.212968474255195	-14.3413279828025	1.20723061741502e-46	9.78125073576707e-44	NA	NA	NA	NA	NA	NA
"34"	"XM_060075112.1"	21.0328362906143	-1.19108985995697	0.387085687671856	-3.08746974128621	0.00201868322144238	0.0102958894859618	NA	NA	NA	NA	NA	NA
"35"	"XM_060051536.1"	1019.76993802495	-1.89023237189926	0.214710868858843	-8.80279205397857	1.33453698015619e-18	9.93004455030505e-17	"Q5ZJH9"	0	"H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (Dyskerin)"	"Gallus gallus (Chicken)"	"box H/ACA RNA 3'-end processing [GO:0000495]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]; mRNA pseudouridine synthesis [GO:1990481]; rRNA pseudouridine synthesis [GO:0031118]; snRNA pseudouridine synthesis [GO:0031120]; telomere maintenance via telomerase [GO:0007004]"	"GO:0000455; GO:0000495; GO:0003723; GO:0005654; GO:0005697; GO:0007004; GO:0009982; GO:0015030; GO:0031118; GO:0031120; GO:0031429; GO:1990481"
"36"	"XR_009529068.1"	51.4174842329877	-0.7295807770603	0.269605793646308	-2.70598782180591	0.00681015433401404	0.0284473813654556	NA	NA	NA	NA	NA	NA
"37"	"XM_060070071.1"	1547.19477150056	-0.619312955361492	0.140481153132024	-4.40845451321058	1.04110879953123e-05	0.000101675429011362	"Q7YR26"	0	"DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)"	"Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)"	"chromatin remodeling [GO:0006338]; circadian regulation of gene expression [GO:0032922]; DNA topological change [GO:0006265]"	"GO:0000978; GO:0003677; GO:0003682; GO:0003917; GO:0005634; GO:0005654; GO:0005694; GO:0005730; GO:0006265; GO:0006338; GO:0032922"
"38"	"XM_060062958.1"	30.4473501353119	0.818183218775723	0.224435837721775	3.64583216124656	0.000266527897905913	0.001781412861164	"O60879"	6.71e-82	"Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2)"	"Homo sapiens (Human)"	"actin filament polymerization [GO:0030041]; female gamete generation [GO:0007292]; oogenesis [GO:0048477]"	"GO:0003779; GO:0005102; GO:0005730; GO:0005769; GO:0005783; GO:0005829; GO:0005884; GO:0007292; GO:0030041; GO:0031267; GO:0043231; GO:0048477"
"39"	"XM_060076871.1"	35.2013992305313	0.741127048306166	0.230827580430528	3.21075722268644	0.00132385728217054	0.00719644781406626	"Q9H2B2"	1.68e-138	"Synaptotagmin-4 (Synaptotagmin IV) (SytIV)"	"Homo sapiens (Human)"	"calcium-ion regulated exocytosis [GO:0017156]; cell differentiation [GO:0030154]; cellular response to calcium ion [GO:0071277]; dense core granule cytoskeletal transport [GO:0099519]; memory [GO:0007613]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of catecholamine secretion [GO:0033604]; negative regulation of protein secretion [GO:0050709]; negative regulation of retrograde trans-synaptic signaling by neuropeptide [GO:1905433]; negative regulation of short-term neuronal synaptic plasticity [GO:0048174]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; neurotransmitter secretion [GO:0007269]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of dendrite extension [GO:1903861]; positive regulation of dense core granule exocytosis [GO:1905415]; positive regulation of glutamate secretion [GO:0014049]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of dopamine secretion [GO:0014059]; regulation of endocytosis [GO:0030100]; regulation of postsynaptic dense core vesicle exocytosis [GO:0150044]; regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission [GO:0150035]; regulation of vesicle fusion [GO:0031338]; vesicle fusion [GO:0006906]; vesicle-mediated transport [GO:0016192]"	"GO:0000139; GO:0000149; GO:0001786; GO:0005509; GO:0005544; GO:0005886; GO:0006906; GO:0007269; GO:0007613; GO:0014049; GO:0014059; GO:0016192; GO:0017156; GO:0017158; GO:0030100; GO:0030154; GO:0030276; GO:0030424; GO:0030425; GO:0030672; GO:0031338; GO:0032127; GO:0033604; GO:0043025; GO:0045202; GO:0045955; GO:0045956; GO:0048174; GO:0048471; GO:0050709; GO:0070382; GO:0071277; GO:0097449; GO:0098978; GO:0098992; GO:0099012; GO:0099519; GO:0150035; GO:0150044; GO:1903861; GO:1905415; GO:1905433; GO:1990742; GO:2000301"
"40"	"XR_009528288.1"	17.0130327304793	-1.02065015225403	0.252731860960838	-4.02765339279194	5.63363122859411e-05	0.00045695705137829	NA	NA	NA	NA	NA	NA
"41"	"XM_060074412.1"	2738.54433951293	1.04359313334074	0.125214397177735	8.33439887206388	7.78929168150786e-17	4.5296114280076e-15	"Q58A48"	3.81e-119	"Tsukushi (Leucine-rich repeat-containing protein 54) (Z-TSK)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"bone growth [GO:0098868]; energy homeostasis [GO:0097009]; growth plate cartilage chondrocyte development [GO:0003431]"	"GO:0003431; GO:0005615; GO:0031012; GO:0097009; GO:0098868"
"42"	"XM_060076945.1"	12.9695425124574	-0.732587235777192	0.202009382730859	-3.6190752832251	0.000295657624950142	0.00195402000103	"Q6IQ97"	5.21e-145	"RNA-binding protein 4.1 (RNA-binding motif protein 4.1)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"mRNA splicing, via spliceosome [GO:0000398]"	"GO:0000398; GO:0003723; GO:0003729; GO:0008270; GO:0016607"
